0; 39.1984; 5.02301e-01; 5.91325e-01; 6.50817e-01; 3.76248e-01; 3.44519e-01; 4.94499e-01; 4.45304e-01; 3.60611e-01; 1.65666e-01; 5.86837e-01
14; 36.4284; 2.73801e-01; 5.01492e-01; 6.19027e-01; 5.74104e-01; 4.36320e-01; 3.85170e-01; 3.05300e-01; 3.59801e-01; 5.80889e-01; 5.09495e-01
31; 30.1013; 4.45225e-01; 2.31817e-01; 7.52443e-01; 3.30327e-01; 3.60583e-01; 3.23919e-01; 4.81570e-01; 2.86724e-01; 1.77806e-01; 3.25517e-01
32; 29.4471; 5.80220e-01; 3.97005e-01; 5.60938e-01; 3.58747e-01; 4.40397e-01; 4.01778e-01; 4.71895e-01; 4.04521e-01; 4.92370e-01; 4.76893e-01
44; 27.6946; 3.01587e-01; 4.60288e-01; 3.29911e-01; 4.78408e-01; 3.39577e-01; 5.66152e-01; 5.29104e-01; 2.60447e-01; 5.92548e-01; 3.22564e-01
163; 25.6694; 3.01587e-01; 4.60288e-01; 3.29911e-01; 4.78408e-01; 3.39577e-01; 5.65929e-01; 5.11638e-01; 2.86724e-01; 1.77806e-01; 5.54271e-01
321; 20.7533; 3.39650e-01; 4.60288e-01; 3.29911e-01; 2.84860e-01; 3.71669e-01; 4.87588e-01; 3.99439e-01; 3.45881e-01; 2.69285e-01; 2.54890e-01
478; 18.8421; 3.01587e-01; 4.39073e-01; 7.65007e-01; 2.52936e-01; 3.26201e-01; 6.06984e-01; 3.95865e-01; 2.90368e-01; 2.84476e-01; 3.69477e-01
750; 18.514; 3.01661e-01; 4.39073e-01; 7.65007e-01; 2.52936e-01; 3.26201e-01; 6.06928e-01; 3.95865e-01; 2.90368e-01; 2.84476e-01; 3.69477e-01
751; 17.9869; 3.39724e-01; 4.60270e-01; 3.27569e-01; 2.84860e-01; 3.71662e-01; 4.94192e-01; 4.25855e-01; 2.90368e-01; 2.84476e-01; 3.19430e-01
817; 17.5944; 3.01661e-01; 4.34315e-01; 7.65007e-01; 2.52691e-01; 3.71662e-01; 4.94192e-01; 4.25855e-01; 2.90368e-01; 2.84490e-01; 3.19430e-01
890; 17.354; 3.01661e-01; 4.39073e-01; 7.65007e-01; 2.52936e-01; 3.26201e-01; 6.06928e-01; 3.95865e-01; 2.90368e-01; 5.12364e-01; 3.69504e-01
964; 17.3133; 3.01587e-01; 4.74543e-01; 4.79812e-01; 2.84860e-01; 3.57420e-01; 4.79895e-01; 4.25855e-01; 2.90340e-01; 2.84476e-01; 3.23053e-01
1012; 16.946; 3.39724e-01; 4.60270e-01; 4.82201e-01; 2.85753e-01; 3.57420e-01; 4.79895e-01; 4.25855e-01; 2.90340e-01; 2.84476e-01; 3.23053e-01
1060; 15.9502; 3.01587e-01; 4.74543e-01; 4.79812e-01; 2.85083e-01; 3.57420e-01; 4.79881e-01; 4.25855e-01; 2.90340e-01; 2.88078e-01; 3.23053e-01
1242; 14.898; 2.25451e-01; 4.74543e-01; 4.79775e-01; 2.84867e-01; 3.70824e-01; 4.95197e-01; 3.97261e-01; 2.91275e-01; 1.55397e-01; 3.69372e-01
1394; 13.5456; 4.82935e-01; 3.73141e-01; 4.79738e-01; 3.42272e-01; 3.57420e-01; 2.51128e-01; 4.25743e-01; 3.18934e-01; 2.88071e-01; 3.23053e-01
1613; 13.2725; 4.82935e-01; 3.73141e-01; 4.79738e-01; 3.42272e-01; 3.60995e-01; 2.51574e-01; 4.27531e-01; 3.18934e-01; 2.88071e-01; 3.23053e-01
1620; 13.2049; 4.88259e-01; 3.73141e-01; 4.79738e-01; 3.42300e-01; 3.73505e-01; 2.51128e-01; 5.39897e-01; 3.20742e-01; 2.39469e-01; 4.15230e-01
1623; 12.2353; 4.82935e-01; 3.73141e-01; 4.79738e-01; 3.42272e-01; 3.59208e-01; 2.51128e-01; 5.40120e-01; 3.19046e-01; 2.88071e-01; 3.76667e-01
1678; 11.4563; 4.86066e-01; 3.73224e-01; 4.79812e-01; 3.28868e-01; 3.71717e-01; 2.47553e-01; 5.97309e-01; 3.23423e-01; 2.90752e-01; 3.80227e-01
2049; 8.96686; 3.57464e-01; 4.12338e-01; 3.96066e-01; 3.26858e-01; 3.71424e-01; 4.65696e-01; 3.49357e-01; 2.85111e-01; 1.57212e-01; 3.11869e-01
2330; 8.85168; 3.57464e-01; 4.12338e-01; 3.96066e-01; 3.26858e-01; 3.71424e-01; 4.65696e-01; 3.49413e-01; 2.85111e-01; 1.56989e-01; 3.11869e-01
2752; 8.77406; 4.02255e-01; 4.11473e-01; 3.96066e-01; 3.27304e-01; 3.42830e-01; 5.79626e-01; 3.49260e-01; 2.95778e-01; 1.55481e-01; 3.40463e-01
2753; 7.972; 4.02255e-01; 4.11473e-01; 3.96066e-01; 3.26858e-01; 3.71424e-01; 2.38059e-01; 1.84997e-01; 2.85111e-01; 1.56989e-01; 3.11841e-01
3011; 7.94974; 4.02255e-01; 4.11473e-01; 3.96066e-01; 3.26858e-01; 3.71424e-01; 2.38059e-01; 1.84969e-01; 2.85111e-01; 1.57100e-01; 3.11841e-01
3075; 7.5077; 4.02329e-01; 4.11473e-01; 3.96066e-01; 2.69976e-01; 3.54097e-01; 5.88896e-01; 4.09701e-01; 3.12337e-01; 2.69648e-01; 3.12763e-01
3219; 7.43982; 4.41024e-01; 4.25124e-01; 4.15098e-01; 3.26313e-01; 3.44645e-01; 4.47824e-01; 3.50628e-01; 3.42300e-01; 3.41315e-01; 3.12756e-01
3389; 7.27647; 4.41006e-01; 4.25124e-01; 4.15098e-01; 3.26313e-01; 3.44673e-01; 4.47824e-01; 3.43479e-01; 3.42300e-01; 3.41315e-01; 3.12763e-01
3415; 6.97357; 4.41006e-01; 4.25124e-01; 4.15098e-01; 3.26313e-01; 3.44673e-01; 4.47824e-01; 3.50642e-01; 3.42300e-01; 3.41315e-01; 3.12763e-01
4046; 6.92643; 4.41526e-01; 4.06093e-01; 4.15098e-01; 3.26313e-01; 3.44673e-01; 4.40676e-01; 3.50642e-01; 3.42355e-01; 3.39528e-01; 3.12763e-01
4178; 6.86977; 4.42493e-01; 4.27271e-01; 4.15023e-01; 3.41916e-01; 3.04239e-01; 4.47824e-01; 3.36345e-01; 3.42306e-01; 2.32300e-01; 3.13210e-01
4268; 6.00256; 4.42493e-01; 4.28461e-01; 4.12644e-01; 3.49064e-01; 3.04351e-01; 4.47824e-01; 3.36345e-01; 3.42306e-01; 2.32300e-01; 3.13210e-01
