parameter: friction_coeff
n_edges : 29
n_nodes : 15
n_cols  : 44 ( = n_edges + n_nodes )
n_rows  : 29 ( = n_edges )
column names; POOL4; PIPE7; PIPE10; PIPE13; PIPE16; PIPE19; PIPE22; PIPE25; PIPE28; PIPE31; PIPE34; PIPE37; PIPE40; POOL43; PIPE46; PIPE49; PIPE52; PIPE55; PIPE58; PIPE61; PIPE64; PIPE67; PIPE70; PIPE73; PIPE76; PIPE79; PIPE82; PIPE85; PIPE88; NODE2; NODE6; NODE9; NODE12; NODE17; NODE18; NODE23; NODE24; NODE29; NODE30; NODE32; NODE33; NODE63; NODE72; NODE81; 
friction_coeff @ PIPE34; +8.07223e-03; -2.69075e-03; -2.69075e-03; -2.69074e-03; -2.69074e-03; -1.43543e-03; -2.10086e-03; -3.68630e-03; +1.44005e-03; +2.21090e-02; -2.73102e-01; -1.16895e-01; +2.91952e-02; -8.07223e-03; -8.07223e-03; +6.99712e-03; +1.07511e-03; -2.69074e-03; -3.76144e-09; +2.69075e-03; -3.76144e-09; -6.65426e-04; -2.28507e-03; +1.87077e-03; +1.07973e-03; +9.37112e-02; +9.86107e-04; +1.49209e-01; -2.43906e-01; +0.00000e+00; +1.93855e-03; +1.93855e-03; +3.03268e-03; +1.07851e-02; +1.08716e-02; +1.03465e-02; +1.10043e-02; +1.44655e-02; +0.00000e+00; +3.40109e-02; -1.83917e-02; +1.93855e-03; +1.08150e-02; -6.25343e-04; 
friction_coeff @ PIPE37; +1.34606e-03; -4.48688e-04; -4.48688e-04; -4.48687e-04; -4.48687e-04; +5.71932e-04; -5.88305e-06; -1.20783e-03; +2.69808e-03; -2.00015e-02; +5.52162e-02; +1.32459e-01; -1.18571e-02; -1.34606e-03; -1.34606e-03; +5.76707e-03; -4.42101e-03; -4.48687e-04; -6.27229e-10; +4.48688e-04; -6.27229e-10; -5.77815e-04; -1.32354e-04; +1.86116e-03; -1.15099e-03; -1.08037e-01; -6.79830e-03; +7.14758e-02; +4.33590e-02; +0.00000e+00; +3.23258e-04; +3.23258e-04; +5.05706e-04; +1.72654e-03; +1.69209e-03; +1.72531e-03; +1.94084e-03; -1.30865e-02; +0.00000e+00; +2.09030e-02; +7.46948e-03; +3.23258e-04; +1.75244e-03; +4.31117e-03; 
friction_coeff @ PIPE40; +7.66948e-02; -2.55650e-02; -2.55650e-02; -2.55649e-02; -2.55649e-02; -1.77979e-02; -2.17265e-02; -3.19827e-02; +1.07947e-03; +3.31516e-01; -1.95741e-01; -1.68298e-01; +8.00277e-01; -7.66948e-02; -7.66948e-02; +4.28932e-02; +3.38016e-02; -2.55649e-02; -3.57377e-08; +2.55650e-02; -3.57377e-08; -3.92858e-03; -2.29857e-02; +9.83108e-03; +1.70832e-02; -1.97019e-01; -3.92067e-01; -1.54510e-02; +6.04537e-01; +0.00000e+00; +1.84183e-02; +1.84183e-02; +2.88137e-02; +1.02839e-01; +1.03911e-01; +9.83031e-02; +1.04010e-01; +2.16903e-01; +2.54885e-32; +2.45044e-01; +2.92665e-01; +1.84183e-02; +1.03015e-01; +2.48630e-01; 
friction_coeff @ POOL43; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; +0.00000e+00; -0.00000e+00; +0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; -0.00000e+00; 
friction_coeff @ PIPE46; -5.05980e-01; +1.68660e-01; +1.68660e-01; +1.68660e-01; +1.68660e-01; +1.22494e-01; +1.45491e-01; +2.07289e-01; +8.25627e-03; +1.84313e-01; +1.11972e-01; -3.95287e-02; -1.58676e-01; +5.05980e-01; +5.05980e-01; -2.54199e-01; -2.51781e-01; +1.68660e-01; +2.35773e-07; -1.68660e-01; +2.35773e-07; +2.29973e-02; +1.53200e-01; -5.51663e-02; -1.21030e-01; +1.06997e-01; -1.62991e-01; +1.02699e-01; -4.67044e-02; +0.00000e+00; -1.21511e-01; -1.21511e-01; -1.90093e-01; +9.69625e-01; +9.62248e-01; +1.00000e+00; +9.63010e-01; +1.20592e-01; +0.00000e+00; +1.27201e-01; +9.99593e-02; -1.21511e-01; +9.68594e-01; +1.03361e-01; 
friction_coeff @ PIPE49; +3.34711e-01; -1.11571e-01; -1.11571e-01; -1.11570e-01; -1.11570e-01; -2.45933e-02; -7.22830e-02; -1.78385e-01; +1.65526e-01; -1.03041e-01; -1.27800e-01; +2.22997e-01; +1.16851e-01; -3.34711e-01; -3.34711e-01; +4.88176e-01; -1.53464e-01; -1.11570e-01; -1.55966e-07; +1.11571e-01; -1.55966e-07; -4.76898e-02; -8.40432e-02; +1.44264e-01; -1.25312e-02; +3.35085e-02; +1.14820e-01; -1.37379e-01; -1.09495e-02; +0.00000e+00; +8.03812e-02; +8.03812e-02; +1.25749e-01; +4.44105e-01; +4.45586e-01; +4.29014e-01; +4.60846e-01; -6.74173e-02; -1.54988e-32; -1.04703e-01; -7.36109e-02; +8.03812e-02; +4.46243e-01; -7.28134e-02; 
friction_coeff @ PIPE52; +3.42612e-01; -1.14204e-01; -1.14204e-01; -1.14204e-01; -1.14204e-01; -1.41269e-01; -1.23278e-01; -9.77201e-02; -1.82296e-01; -1.44318e-01; -2.02930e-02; -1.76664e-01; +9.51619e-02; -3.42612e-01; -3.42612e-01; -1.58596e-01; +5.01207e-01; -1.14204e-01; -1.59648e-07; +1.14204e-01; -1.59648e-07; +1.79907e-02; -1.21614e-01; -7.40200e-02; +1.77643e-01; -1.80225e-01; +1.03132e-01; +2.22470e-03; +7.48688e-02; +0.00000e+00; +8.22785e-02; +8.22785e-02; +1.28717e-01; +4.64878e-01; +4.73385e-01; +4.39140e-01; +4.56578e-01; -9.44241e-02; +2.46920e-32; -6.48850e-02; -5.99479e-02; +8.22785e-02; +4.64071e-01; -6.54014e-02; 
friction_coeff @ PIPE55; -1.06633e-01; -4.46683e-01; -4.46683e-01; +3.55440e-02; +3.55440e-02; +2.58151e-02; +3.06617e-02; +4.36853e-02; +1.73997e-03; +3.88431e-02; +2.35976e-02; -8.33049e-03; -3.34403e-02; +1.06633e-01; +1.06633e-01; -5.35713e-02; -5.30617e-02; +9.99999e-01; -4.82227e-01; -3.55450e-02; -4.82227e-01; +4.84657e-03; +3.22861e-02; -1.16261e-02; -2.55066e-02; +2.25491e-02; -3.43496e-02; +2.16433e-02; -9.84274e-03; +0.00000e+00; +3.21814e-01; +3.21814e-01; +3.07360e-01; +2.04344e-01; +2.02790e-01; +2.10746e-01; +2.02950e-01; +2.54141e-02; +1.54988e-33; +2.68070e-02; +2.10660e-02; +3.21814e-01; +2.04127e-01; +2.17829e-02; 
friction_coeff @ PIPE58; -8.08684e-32; +5.23222e-25; -2.61611e-25; -9.27035e-25; +4.63516e-25; +1.95777e-32; +2.32532e-32; +3.31300e-32; +1.31956e-33; +2.94578e-32; +1.78960e-32; -6.31768e-33; -2.53605e-32; +8.08684e-32; +8.08684e-32; -4.06275e-32; -4.02410e-32; -2.61611e-25; +1.45026e-24; -4.63518e-25; -7.25127e-25; +3.67554e-33; +2.44852e-32; -8.81698e-33; -1.93437e-32; +1.71008e-32; -2.60501e-32; +1.64138e-32; -7.46454e-33; +0.00000e+00; -3.76956e-25; +1.88478e-25; +2.33096e-31; +1.54971e-31; +1.53792e-31; +1.59825e-31; +1.53913e-31; +1.92736e-32; -1.28203e-57; +2.03299e-32; +1.59760e-32; +1.88479e-25; +1.54806e-31; +1.65198e-32; 
friction_coeff @ PIPE61; -3.39693e-02; +1.13230e-02; +1.13230e-02; -2.60857e-01; -2.60857e-01; +8.22371e-03; +9.76765e-03; +1.39165e-02; +5.54289e-04; +1.23739e-02; +7.51731e-03; -2.65378e-03; -1.06528e-02; +3.39693e-02; +3.39693e-02; -1.70658e-02; -1.69035e-02; +1.13233e-02; +2.72180e-01; -5.55683e-01; +2.72180e-01; +1.54393e-03; +1.02851e-02; -3.70363e-03; -8.12545e-03; +7.18330e-03; -1.09425e-02; +6.89473e-03; -3.13553e-03; +0.00000e+00; -8.15767e-03; -8.15767e-03; +9.79135e-02; +6.50964e-02; +6.46011e-02; +6.71356e-02; +6.46522e-02; +8.09599e-03; +3.87470e-34; +8.53972e-03; +6.71083e-03; -8.15790e-03; +6.50271e-02; +6.93923e-03; 
friction_coeff @ PIPE64; -8.08684e-32; -2.61611e-25; +5.23222e-25; +4.63516e-25; -9.27035e-25; +1.95777e-32; +2.32532e-32; +3.31300e-32; +1.31956e-33; +2.94578e-32; +1.78960e-32; -6.31768e-33; -2.53605e-32; +8.08684e-32; +8.08684e-32; -4.06275e-32; -4.02410e-32; -2.61611e-25; -7.25127e-25; -4.63518e-25; +1.45026e-24; +3.67554e-33; +2.44852e-32; -8.81698e-33; -1.93437e-32; +1.71008e-32; -2.60501e-32; +1.64138e-32; -7.46454e-33; +0.00000e+00; +1.88478e-25; -3.76956e-25; +2.33096e-31; +1.54971e-31; +1.53792e-31; +1.59825e-31; +1.53913e-31; +1.92736e-32; +3.20507e-58; +2.03299e-32; +1.59760e-32; +1.88479e-25; +1.54806e-31; +1.65198e-32; 
friction_coeff @ PIPE67; +4.79517e-05; -1.59839e-05; -1.59839e-05; -1.59839e-05; -1.59839e-05; +2.13085e-02; -6.24808e-03; +1.82197e-03; -3.75702e-03; -1.44326e-05; -1.92462e-05; +3.53805e-05; +1.69477e-05; -4.79517e-05; -4.79517e-05; +7.55191e-05; -2.75674e-05; -1.59839e-05; -2.23442e-11; +1.59839e-05; -2.23442e-11; -2.75566e-02; +4.37815e-03; +5.65452e-03; +1.75240e-02; +6.61948e-06; +1.65715e-05; -2.08925e-05; -2.29851e-06; +0.00000e+00; +1.15156e-05; +1.15156e-05; +1.80151e-05; +1.36591e-03; +8.27099e-05; +6.14618e-05; -2.63666e-04; -9.44290e-06; +0.00000e+00; -1.53587e-05; -1.06763e-05; +1.15156e-05; -8.36062e-04; -1.05089e-05; 
friction_coeff @ PIPE70; -7.85376e-03; +2.61792e-03; +2.61792e-03; +2.61792e-03; +2.61792e-03; -1.78699e-02; -1.25512e-01; -1.27523e-01; -4.90664e-02; +2.90062e-03; +1.62493e-03; -1.99252e-04; -2.43794e-03; +7.85376e-03; +7.85376e-03; -3.27210e-03; -4.58166e-03; +2.61792e-03; +3.65964e-09; -2.61792e-03; +3.65964e-09; -1.07642e-01; +2.60889e-01; -8.17292e-02; -7.15180e-02; +1.88029e-03; -2.51520e-03; +1.44792e-03; -8.13011e-04; +0.00000e+00; -1.88609e-03; -1.88609e-03; -2.95060e-03; +1.61373e-02; +1.72135e-02; -1.00665e-02; +1.26898e-02; +1.89781e-03; +3.98258e-34; +1.93113e-03; +1.53580e-03; -1.88609e-03; +2.09631e-02; +1.59502e-03; 
friction_coeff @ PIPE73; +7.03269e-04; -2.34423e-04; -2.34423e-04; -2.34423e-04; -2.34423e-04; +2.20386e-02; -1.25326e-02; +3.21531e-02; -7.62195e-02; -1.94609e-04; -3.30813e-04; +6.96752e-04; +2.59295e-04; -7.03269e-04; -7.03269e-04; +1.39672e-03; -6.93451e-04; -2.34422e-04; -3.27704e-10; +2.34423e-04; -3.27704e-10; -3.45712e-02; -2.03237e-02; +1.09769e-01; -5.48744e-02; +1.91308e-04; +2.49365e-04; -3.69155e-04; -7.15178e-05; +0.00000e+00; +1.68890e-04; +1.68890e-04; +2.64213e-04; +3.51791e-03; +2.19075e-03; +9.01410e-04; -4.83625e-03; -1.27328e-04; +0.00000e+00; -2.43828e-04; -1.63345e-04; +1.68890e-04; +5.06779e-03; -1.58135e-04; 
friction_coeff @ PIPE76; +3.35984e-04; -1.11995e-04; -1.11995e-04; -1.11994e-04; -1.11994e-04; +2.45379e-02; +1.20722e-03; +2.32954e-03; +1.42525e-02; -1.33908e-04; -4.15770e-05; -9.38303e-05; +9.81155e-05; -3.35984e-04; -3.35984e-04; -2.64192e-05; +3.62403e-04; -1.11994e-04; -1.56559e-10; +1.11995e-04; -1.56559e-10; -2.33307e-02; -3.87274e-03; -1.19494e-02; +3.91528e-02; -1.34665e-04; +1.03961e-04; -2.58341e-05; +5.65386e-05; +0.00000e+00; +8.06867e-05; +8.06867e-05; +1.26227e-04; +1.78608e-04; -1.29906e-03; +4.30645e-04; +1.49428e-05; -8.76127e-05; -3.89961e-34; -7.19238e-05; -6.18086e-05; +8.06867e-05; +1.22456e-03; -6.59269e-05; 
friction_coeff @ PIPE79; +3.37874e-03; -1.12625e-03; -1.12625e-03; -1.12625e-03; -1.12625e-03; -1.25905e-03; -1.15880e-03; -1.06173e-03; -1.39146e-03; +2.84730e-02; +4.10479e-02; +1.00185e-01; +1.28718e-02; -3.37874e-03; -3.37874e-03; -8.03606e-04; +4.18235e-03; -1.12625e-03; -1.57440e-09; +1.12625e-03; -1.57440e-09; +1.00249e-04; -1.15821e-03; -4.73883e-04; +1.53185e-03; -1.32840e-01; +1.89800e-02; +5.99404e-02; +5.39197e-02; +0.00000e+00; +8.11408e-04; +8.11408e-04; +1.26937e-03; +4.57261e-03; +4.64843e-03; +4.33068e-03; +4.52015e-03; +1.86293e-02; +2.54885e-32; +1.87788e-03; -8.10866e-03; +8.11408e-04; +4.56812e-03; -1.20362e-02; 
friction_coeff @ PIPE82; +7.98334e-02; -2.66111e-02; -2.66111e-02; -2.66111e-02; -2.66111e-02; -1.88679e-02; -2.27606e-02; -3.30417e-02; +8.84855e-05; +3.55058e-01; -6.69978e-03; -9.77840e-02; -3.97307e-01; -7.98334e-02; -7.98334e-02; +4.27112e-02; +3.71222e-02; -2.66111e-02; -3.72002e-08; +2.66112e-02; -3.72002e-08; -3.89273e-03; -2.40310e-02; +9.58095e-03; +1.83428e-02; -2.94396e-01; +8.32199e-01; -1.33795e-01; -4.04007e-01; +0.00000e+00; +1.91720e-02; +1.91720e-02; +2.99928e-02; +1.07078e-01; +1.08214e-01; +1.02326e-01; +1.08222e-01; +2.32307e-01; -1.69924e-32; +2.48657e-01; +2.50287e-01; +1.91720e-02; +1.07252e-01; +2.79715e-01; 
friction_coeff @ PIPE85; +6.74019e-03; -2.24673e-03; -2.24673e-03; -2.24673e-03; -2.24673e-03; -1.02133e-03; -1.67894e-03; -3.20758e-03; +1.73940e-03; +1.32857e-02; +1.35837e-01; -1.37757e-01; +2.09803e-03; -6.74019e-03; -6.74019e-03; +6.84749e-03; -1.07300e-04; -2.24673e-03; -3.14075e-09; +2.24673e-03; -3.14075e-09; -6.57612e-04; -1.85367e-03; +1.90051e-03; +6.10770e-04; +1.24579e-01; +1.79279e-02; -2.80442e-01; +1.37935e-01; +0.00000e+00; +1.61866e-03; +1.61866e-03; +2.53224e-03; +8.98971e-03; +9.05122e-03; +8.63919e-03; +9.21158e-03; +8.69253e-03; -1.69924e-32; +3.17262e-02; -1.32167e-03; +1.61866e-03; +9.01919e-03; -1.13690e-02; 
friction_coeff @ PIPE88; +3.01744e-04; -1.00581e-04; -1.00581e-04; -1.00581e-04; -1.00581e-04; -1.09260e-04; -1.02138e-04; -9.71458e-05; -1.14626e-04; +2.44993e-03; +2.18585e-02; +8.22636e-03; +8.08072e-03; -3.01744e-04; -3.01744e-04; -5.37255e-05; +3.55470e-04; -1.00581e-04; -1.40605e-10; +1.00581e-04; -1.40605e-10; +7.12195e-06; -1.02461e-04; -3.62450e-05; +1.31584e-04; -1.10318e-02; -5.32905e-03; -1.35784e-02; +2.99392e-02; +0.00000e+00; +7.24641e-05; +7.24641e-05; +1.13363e-04; +4.08082e-04; +4.14662e-04; +3.86759e-04; +4.04094e-04; +1.60293e-03; +0.00000e+00; +2.27444e-04; -5.09051e-03; +7.24641e-05; +4.07763e-04; +3.37943e-03; 
