

 Zonafogyasztasok kiszamitasa, adatfajl: alapzonamodell9.spr

 	 A_1                    :	   0.12 m3/h	 zona :   0.12 m3/h
 	 A_Z020-04948           :	   0.74 m3/h	 zona : 1456.26 m3/h
 	 A_Z020-04949           :	   0.41 m3/h	 zona : 1456.67 m3/h
 	 A_Z020-05044           :	   1.19 m3/h	 zona : 1457.86 m3/h
 	 A_Z020-05256           :	   0.29 m3/h	 zona : 1458.14 m3/h
 	 A_Z020-05454           :	   4.19 m3/h	 zona : 1462.34 m3/h
 	 A_Z020-05496           :	 211.01 m3/h	 zona : 1673.35 m3/h
 	 A_Z020-05629           :	   1.17 m3/h	 zona : 1674.51 m3/h
 	 A_Z020-05636           :	   2.22 m3/h	 zona : 1676.73 m3/h
 	 A_Z020-05710           :	   0.47 m3/h	 zona : 1677.20 m3/h
 	 A_Z020-05795           :	   0.31 m3/h	 zona : 1677.51 m3/h
 	 A_Z020-06322           :	   0.25 m3/h	 zona : 1677.76 m3/h
 	 A_Z020-06367           :	   1.17 m3/h	 zona : 1678.92 m3/h
 	 A_Z020-06623           :	   0.06 m3/h	 zona : 1678.98 m3/h
 	 A_Z020-06886           :	   1.04 m3/h	 zona : 1680.03 m3/h
 	 A_Z020-07952           :	   0.10 m3/h	 zona : 1680.13 m3/h
 	 A_Z020-07989           :	   1.37 m3/h	 zona : 1681.50 m3/h
 	 A_Z020-08282           :	   1.04 m3/h	 zona : 1682.54 m3/h
 	 A_Z020-08294           :	   0.70 m3/h	 zona : 1683.24 m3/h
 	 A_Z020-08314           :	   2.66 m3/h	 zona : 1685.90 m3/h
 	 A_Z020-08853           :	   0.12 m3/h	 zona : 1686.02 m3/h
 	 A_Z020-08948           :	   1.31 m3/h	 zona : 1687.33 m3/h
 	 A_Z020-09186           :	   0.74 m3/h	 zona : 1688.06 m3/h
 	 A_Z020-09775           :	   0.65 m3/h	 zona : 1688.72 m3/h
 	 A_Z020-10639           :	   0.78 m3/h	 zona : 1689.49 m3/h
 	 A_Z020-10660           :	   0.33 m3/h	 zona : 1689.82 m3/h
 	 A_Z020-11298           :	   0.35 m3/h	 zona : 1690.17 m3/h
