#med_sanc;K_KB_SANC_MED_02KAM_HS_M-AVGHALF;Vizszint (m);2.7087553;2.8017845;3.0177050;3.1884375;3.3123438;3.4571133;3.6362965;4.0101337;4.4311409;4.8941102;5.3262482;5.5952029;5.6488833;5.4021878;4.9688768;4.6176391;4.3496943;4.1308298;3.9099581;3.8624237;3.8524268;3.8417673;3.8337295;3.8239572;3.8149884;3.8056371;3.7965555;3.7889640;3.7796388;3.7692413;3.7626405;3.7533123;3.7436492;3.7350395;3.7272673;3.7182870;3.6662276;3.5945311;3.5401301;3.4435940;3.3332462;3.2161806;3.2550607;3.2484984;3.2337930;3.2384720;3.1884546;3.0541317
#med_sanc;-;Zarallapot;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;kizarva;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo;Ellennyomo
Alapzona;K_K_KOZP_PEST_BUDA_QOSSZ_SM-AVGHALF-K_DB_BORS_GH_Q_M-AVGHALF-Krisztinak-KEPE;Fogyasztas (m3/h);2804;1159;3288;5469;5010;3891;2010;2419;3144;4238;7082;11194;17341;21069;20626;19394;18583;17874;15205;14136;14487;14391;14167;14211;14691;14789;14305;13561;13073;12581;12478;12724;12730;12688;12733;13982;15576;15171;16143;16315;16401;13148;14289;12264;8394;8073;8820;136061
KeletPest;K_K_KOZP_KEPE_FELSOZONA_QOSSZ_SM-AVGHALF;Fogyasztas (m3/h);1656;1380;1175;1112;1112;1083;1124;1127;1275;1420;1802;2340;2957;3274;3136;3047;2863;2899;3053;3073;2883;2699;2614;2653;2548;2662;2518;2422;2243;2170;2155;2075;2001;2200;2162;2303;2418;2563;2879;3119;3310;3041;2809;2855;2617;2434;2151;9612
A_FELSOJH_GH;K_EB_BUJL_TERM_Q_SM-AVGHALF;Betap Q (m3/h);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A_Z20-RADNOTI;K_EB_MARG_RGH_QTERM_SM-AVGHALF;Betap Q (m3/h);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A_BEKAS_PUM;E_BM_VT_BM_ROKA_QOS_SM-AVGHALF;Betap Q (m3/h);2901;2892;2856;2856;2813;2813;2811;2806;2758;2758;2702;2706;2731;2752;2764;2762;2785;2397;2804;2905;3003;2971;2960;2957;2962;2962;2996;2993;3013;2976;2950;2952;2947;2950;2944;2951;2902;2834;2840;2851;2854;2848;2849;2898;2843;2849;2842;2877
A_KM4_Q1600;E_BP_VT_NNYGH_Q_SM-AVGHALF;Betap Q (m3/h);6992;7397;7327;7317;7237;7215;7181;7345;7220;6678;6678;6740;6880;7068;7105;7028;7066;7083;7093;6639;6626;6730;6714;6740;6874;6951;6968;6980;6980;6924;6929;6894;6880;6907;6868;6892;6777;7202;7238;7281;7320;7294;7204;7274;7404;7354;7432;7189
A_KPM1-3;E_KM_VT_12GH_Q_SM-AVGHALF;Betap Q (m3/h);2344;2607;2576;2564;2550;2399;2286;2221;2204;2210;2218;2242;2302;2365;2385;2366;2374;2386;2387;2136;2357;2388;2386;2409;2453;2485;2481;2490;2491;2485;2472;2464;2451;2456;2446;2326;2084;1876;1902;1921;1947;1931;1889;1931;1996;1985;2025;2039
A_CSEPEL_BF;D_CS_VT_GH_Q_SM-AVGHALF;Betap Q (m3/h);3994;3980;4209;4274;4283;4283;4359;4357;4231;4142;4199;4431;4515;4523;4514;4487;4492;4523;4530;4489;4177;3579;3610;3634;3613;3603;3610;3629;3574;3599;3598;3587;3596;3605;3772;4016;3951;4036;4755;4808;4787;4769;4908;4987;4989;5006;5017;5018
A_BUDAORSI_UT;K_DB_BORS_GH_Q_M-AVGHALF;Tovabbemelt Q (m3/h);575;576;577;577;576;577;579;581;581;583;584;584;583;581;579;577;577;576;563;560;563;562;562;560;557;558;560;556;555;558;558;558;560;559;560;560;576;578;578;578;577;578;580;580;580;582;579;579
A_KRISZTINA_UJ;K_KB_KRIS_DGH_Q_SM-AVGHALF +K_KB_KRIS_SASLIP_QOSSZ_SM-AVGHALF+K_KB_KRIS_VGH_Q_SM-AVGHALF;Tovabbemelt Q (m3/h);1041;1646;1663;1552;1690;1707;1724;1748;1930;1043;1159;1146;843;836;832;831;901;893;866;861;1895;1860;1849;1821;1854;1850;1840;1820;1802;1792;1785;1779;1773;1771;1772;1768;1760;1711;1695;1091;1056;1055;1052;1049;1144;1074;1040;1031
K_KOBANYA_GH;K_DP_KOBA_PILL_Q_SM-AVGHALF;Tovabbemelt Q (m3/h);450;455;439;434;434;435;482;506;512;533;536;534;861;823;812;894;784;798;838;785;812;748;749;725;681;700;654;642;590;571;544;491;467;515;453;476;580;641;743;752;848;736;670;700;609;547;494;459
K_RSZM_GH;K_EP_RSZM_GH_Q_M-AVGHALF;Tovabbemelt Q (m3/h);1152;1041;1018;986;987;973;972;955;1060;1109;1336;1478;1495;1780;1571;1435;1403;1392;1386;1397;1226;1214;1178;1232;1223;1303;1288;1284;1260;1230;1215;1186;1153;1236;1247;1305;1231;1258;1395;1471;1482;1473;1425;1456;1405;1385;1348;1215
K_GILICE_UJ_KEPE_GH;K_DP_GILI_KEPE_Q_SM-AVGHALF;Tovabbemelt Q (m3/h);211;175;124;103;112;100;43;0;0;0;62;423;608;651;621;579;529;529;557;542;518;503;480;511;474;491;444;444;400;382;391;388;349;396;390;417;452;503;576;643;690;628;551;561;470;422;340;286
A_NODE570;Barlang medence lopott viz;Tovabbemelt Q (m3/h);1975;1838;787;-32;-16;-13;-14;-114;-357;-396;-370;-356;-392;-367;-344;-350;-319;-223;4;-7;-26;43;-53;-1;1;-8;-9;-78;-103;-115;-88;-126;-106;-119;-150;-220;-514;-471;-312;-54;-57;-41;6;578;1817;1857;1548;16781
NODE320;Kobanya regi urulese;Tovabbemelt Q (m3/h);0;0;0;0;0;0.066876411;2.035140991;0;0;0;0;0;0;0;0;0.271439552;0;0.824809074;0.760555267;0;0;0;0;0;0;0;170.5650091;2287.366033;2791.01032;2578.306615;968.6448276;0;0;0;0.047206879;0;0;0;0;0;2.812743187;0;0;0;0;0;0;11457.99983
A_GILICE_UJ_GH;Gilice t� lak�elep;Tovabbemelt Q (m3/h);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
